name,classification,lat,lng
Hallowed Grounds,2,36.0639747684375,24.8860526757813
GasTech,1,36.0485773628593,24.8795721491437
Hippokampos,2,36.0762945237143,24.858877838
Home of Lucas,3,36.0662135828,24.8824224776
Albert's Fine Clothing,2,36.0744178236842,24.8589769568421
Gelatogalore,2,36.0593865978261,24.8589263154348
Ouzeri Elian,2,36.0522479678571,24.8707921725
Abila Zacharo,2,36.0630256765,24.8518417965
Shoppers' Delight,2,36.05285546,24.8688284916667
U-Pump,2,36.072112245,24.864526025
Frydos Autosupply n' More,2,36.0565724910345,24.8973226068965
Guy's Gyros,2,36.0563649119549,24.9012728781203
Home of Lars,3,36.0850395014286,24.8604046547619
Kronos Mart,2,36.08219155,24.85093262
Home of Felix,3,36.0710953447727,24.8812544686364
Brew've Been Served,2,36.0545176112963,24.9006860256482
Kalami Kafenion,2,36.0659214982927,24.8530289380488
Frank's Fuel,2,36.07223147,24.84138559
Home of Ingrid,3,36.0779969004,24.8714653164
Katerina’s Café,2,36.0544917752632,24.8998046621053
Desafio Golf Course,2,36.08918485375,24.86055153625
Roberts and Sons,2,36.06280514125,24.8522977175
Home of Isak,3,36.0668074705263,24.8779702905263
Coffee Cameleon,2,36.0546521906897,24.8901953172414
Home of Linnea,3,36.0592376005263,24.8946755031579
Octavio's Office Supplies,2,36.0585713333333,24.8582852066667
Brewed Awakenings,2,36.06459994125,24.88136520625
Home of Isande,3,36.0840546645454,24.8642259945455
Home of Nils,3,36.0668128852381,24.8859164338095
Home of Ada,3,36.076355908,24.8657150444
Home of Gustav,3,36.0837637826087,24.8590194804348
Bean There Done That,2,36.0559195875,24.873759605
Home of Hideki,3,36.0675515465,24.899257668
General Grocer,2,36.0601534085714,24.8568092042857
Home of Inga,3,36.0602394277273,24.905446255
Home of Lidelse,3,36.0632109566667,24.8962274761905
Home of Loreto,3,36.06008186,24.9053673395652
Jack's Magical Beans,2,36.0531615533333,24.8792976591667
Home of Isia,3,36.0601836576,24.9054625676
Home of Sven,3,36.0620209995652,24.8985718578261
Ahaggo Museum,2,36.0775766216667,24.8755828083333
Home of Birgitta,3,36.0631944457143,24.8961285871429
Home of Vira,3,36.0878742225,24.856724055
Home of Stenig,3,36.0655587555,24.9012995375
Home of Kanon,3,36.058346371,24.900868273
Home of Varja,3,36.0582132476471,24.9010403064706
Home of Minke,3,36.0620764390476,24.8985723780952
Home of Adra,3,36.0592792313044,24.8948169252174
Home of Marin,3,36.0724417054545,24.8840651322727
Home of Kare,3,36.0688783547368,24.8842561252632
Home of Bertrand,3,36.05928795125,24.8948727070833
Chostus Hotel,2,36.070408506,24.895133636
Home of Orhan,3,36.0724389304545,24.8743177277273
Home of Brand,3,36.0619640566667,24.8985129061111
Home of Edvard,3,36.067529631,24.9027265845
Home of Willem,3,36.0762295665217,24.8742774126087
Other,4,24.87121613125,36.051900815
Other,4,24.8859626883333,36.06422215
Other,4,24.86036028,36.08513289
Other,4,24.85691597,36.07528521
Other,4,24.8528775814286,36.0657889871429
Other,4,24.8501266733333,36.0659125777778
Other,4,24.850980748718,36.0819779861538
Other,4,24.8642887209091,36.0736395345455
Other,4,24.8510219125,36.06297486
Other,4,24.8733080196667,36.067529967
Other,4,24.877630695,36.06746166
Other,4,24.8998823822222,36.05457343
Other,4,24.8956878833333,36.0591899933333
Other,4,24.890428655,36.054631945
Other,4,24.9019584290909,36.05513119
Other,4,24.8523042,36.06304387
Other,4,24.88495997,36.06729217
Other,4,24.856195291,36.08415549
Other,4,24.857647475,36.07672745
Other,4,24.86167339,36.07907657
Other,4,24.89929366,36.06678067
Other,4,24.899576552,36.06323004
Other,4,24.841839056,36.069661068
Other,4,24.892501355,36.05904855
Other,4,24.90038548,36.050380288
Other,4,24.8460891866667,36.0806408916667
Other,4,24.86624413,36.076851795
Other,4,24.8754945030435,36.073049573913
Other,4,24.85009523,36.052967692
Other,4,24.8747109833333,36.07656753
Other,4,24.85717923,36.06039141
Other,4,24.8963745433333,36.0630402911111
Other,4,24.8558717,36.0878827257143
Other,4,24.9051763944444,36.0605243177778
Other,4,24.871444465,36.07797103
Other,4,24.900617775,36.05854497
Other,4,24.87142225,36.06841518
Other,4,24.88332447,36.06926211
Other,4,24.8693237444444,36.0714407766667
Other,4,24.8466025,36.06729674
Other,4,24.8755052775,36.0521037225
Other,4,24.85687922,36.0893682
Other,4,24.85418614,36.06340813
Other,4,24.89806422,36.05996307
Other,4,24.853853095,36.081106855
Other,4,24.84478023,36.05755428
Other,4,24.85802613,36.0592455
Other,4,24.89498556,36.070476175
